time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1517.45707301529,,,3.0947886e-03,208799,1091.28259,678.70827,2.1970725e+03,1.0319088e+01,4.9923188e+03,4.7286549e+00,,,1000000000000,,,,,1091.28259,2.9093770e-03,678.70827,3.2901615e-03,6.1289243e-02,-1.1397718e-01
1517.4584619080197,,,3.0947931e-03,208800,1091.28439,678.70337,2.1935408e+03,1.0285358e+01,4.9523286e+03,4.7107530e+00,,,1000000000000,,,,,1091.28439,2.9030165e-03,678.70337,3.2915687e-03,5.9829809e-02,-1.2752704e-01
1517.4598508007489,,,3.0947975e-03,208801,1091.28765,678.71661,2.2032307e+03,1.0276120e+01,4.9355063e+03,4.7035184e+00,,,1000000000000,,,,,1091.28765,2.8881810e-03,678.71661,3.2585419e-03,6.2223159e-02,-1.0176994e-01
1517.4612396934785,,,3.0948019e-03,208802,1091.28088,678.70482,2.2044441e+03,1.0248331e+01,4.8956191e+03,4.6859217e+00,,,1000000000000,,,,,1091.28088,2.8786520e-03,678.70482,3.2611908e-03,6.1592873e-02,-1.2305560e-01
1517.4626285859763,,,3.0948061e-03,208803,1091.28147,678.71287,2.2103940e+03,1.0234998e+01,4.8716421e+03,4.6798000e+00,,,1000000000000,,,,,1091.28147,2.8677499e-03,678.71287,3.2352353e-03,6.3607082e-02,-1.0407975e-01
1517.464017478706,,,3.0948105e-03,208804,1091.28373,678.70698,2.2014761e+03,1.0210289e+01,4.8434634e+03,4.6640172e+00,,,1000000000000,,,,,1091.28373,2.8747141e-03,678.70698,3.2490741e-03,6.2687568e-02,-1.1248825e-01
1517.465406371435,,,3.0948150e-03,208805,1091.28365,678.71196,2.2161553e+03,1.0196307e+01,4.8147031e+03,4.6520896e+00,,,1000000000000,,,,,1091.28365,2.8523121e-03,678.71196,3.2171975e-03,6.2854528e-02,-1.1452252e-01
1517.4667952641648,,,3.0948194e-03,208806,1091.28577,678.70452,2.1912690e+03,1.0162508e+01,4.7914351e+03,4.6397676e+00,,,1000000000000,,,,,1091.28577,2.8734261e-03,678.70452,3.2501090e-03,6.2332392e-02,-1.1681715e-01
1517.468184156895,,,3.0948238e-03,208807,1091.28535,678.70101,2.2188289e+03,1.0154936e+01,4.7594800e+03,4.6285100e+00,,,1000000000000,,,,,1091.28535,2.8348900e-03,678.70101,3.2082465e-03,6.2883966e-02,-1.1329324e-01
1517.4695730496246,,,3.0948282e-03,208808,1091.28066,678.70795,2.2213928e+03,1.0139722e+01,4.7352432e+03,4.6213970e+00,,,1000000000000,,,,,1091.28066,2.8277552e-03,678.70795,3.1940918e-03,6.1897948e-02,-1.1442745e-01
